,Serve Standing Player,Serve Standing Player2,Serve Rating,% 1st Serve,% 1st Serve Points Won,% 2nd Serve Points Won,% Service Games Won,Avg. Aces/ Match,Avg. Double Faults/Match,My score,My Rank,Label,Score,Score bucket,Feature,Contribution,Rank Bucket
109,16,Marin Cilic,"282,5","0,588","0,784","0,515","0,857","11,5","3,4",282.5,16,Marin Cilic,282.5,282.5,% Service Games Won,10.341666666666669,"10-
20%"
110,16,Marin Cilic,"282,5","0,588","0,784","0,515","0,857","11,5","3,4",282.5,16,Marin Cilic,282.5,282.5,Avg. Aces/ Match,8.077083333333334,"10-
20%"
111,16,Marin Cilic,"282,5","0,588","0,784","0,515","0,857","11,5","3,4",282.5,16,Marin Cilic,282.5,282.5,Avg. Double Faults/Match,-0.4729166666666663,"10-
20%"
112,17,Arthur Rinderknech,"281,2","0,657","0,749","0,487","0,841","9,6","1,8",281.2,17,Arthur Rinderknech,281.2,281.2,Serve Rating,0.0,"10-
20%"
113,17,Arthur Rinderknech,"281,2","0,657","0,749","0,487","0,841","9,6","1,8",281.2,17,Arthur Rinderknech,281.2,281.2,% 1st Serve,1.468749999999999,"10-
20%"
114,17,Arthur Rinderknech,"281,2","0,657","0,749","0,487","0,841","9,6","1,8",281.2,17,Arthur Rinderknech,281.2,281.2,% 1st Serve Points Won,6.30625,"10-
20%"
115,17,Arthur Rinderknech,"281,2","0,657","0,749","0,487","0,841","9,6","1,8",281.2,17,Arthur Rinderknech,281.2,281.2,% 2nd Serve Points Won,-3.1312499999999988,"10-
20%"
116,17,Arthur Rinderknech,"281,2","0,657","0,749","0,487","0,841","9,6","1,8",281.2,17,Arthur Rinderknech,281.2,281.2,% Service Games Won,8.512500000000001,"10-
20%"
117,17,Arthur Rinderknech,"281,2","0,657","0,749","0,487","0,841","9,6","1,8",281.2,17,Arthur Rinderknech,281.2,281.2,Avg. Aces/ Match,5.577083333333333,"10-
20%"
118,17,Arthur Rinderknech,"281,2","0,657","0,749","0,487","0,841","9,6","1,8",281.2,17,Arthur Rinderknech,281.2,281.2,Avg. Double Faults/Match,2.2666666666666657,"10-
20%"
119,18,Thiago Monteiro,281,"0,662","0,727","0,545","0,825","6,5","1,4",281.00000000000006,18,Thiago Monteiro,281.00000000000006,281.0,Serve Rating,0.0,"10-
20%"
120,18,Thiago Monteiro,281,"0,662","0,727","0,545","0,825","6,5","1,4",281.00000000000006,18,Thiago Monteiro,281.00000000000006,281.0,% 1st Serve,2.0375,"10-
20%"
121,18,Thiago Monteiro,281,"0,662","0,727","0,545","0,825","6,5","1,4",281.00000000000006,18,Thiago Monteiro,281.00000000000006,281.0,% 1st Serve Points Won,2.7208333333333328,"10-
20%"
122,18,Thiago Monteiro,281,"0,662","0,727","0,545","0,825","6,5","1,4",281.00000000000006,18,Thiago Monteiro,281.00000000000006,281.0,% 2nd Serve Points Won,6.15625,"10-
20%"
123,18,Thiago Monteiro,281,"0,662","0,727","0,545","0,825","6,5","1,4",281.00000000000006,18,Thiago Monteiro,281.00000000000006,281.0,% Service Games Won,5.793749999999999,"10-
20%"
124,18,Thiago Monteiro,281,"0,662","0,727","0,545","0,825","6,5","1,4",281.00000000000006,18,Thiago Monteiro,281.00000000000006,281.0,Avg. Aces/ Match,0.4625000000000001,"10-
20%"
125,18,Thiago Monteiro,281,"0,662","0,727","0,545","0,825","6,5","1,4",281.00000000000006,18,Thiago Monteiro,281.00000000000006,281.0,Avg. Double Faults/Match,2.829166666666664,"10-
20%"
126,19,Alexander Zverev,"280,5","0,702","0,746","0,479","0,841","7,4","3,7",280.49999999999994,19,Alexander Zverev,280.49999999999994,280.5,Serve Rating,0.0,"20-
30%"
127,19,Alexander Zverev,"280,5","0,702","0,746","0,479","0,841","7,4","3,7",280.49999999999994,19,Alexander Zverev,280.49999999999994,280.5,% 1st Serve,8.4625,"20-
30%"
128,19,Alexander Zverev,"280,5","0,702","0,746","0,479","0,841","7,4","3,7",280.49999999999994,19,Alexander Zverev,280.49999999999994,280.5,% 1st Serve Points Won,5.799999999999999,"20-
30%"
129,19,Alexander Zverev,"280,5","0,702","0,746","0,479","0,841","7,4","3,7",280.49999999999994,19,Alexander Zverev,280.49999999999994,280.5,% 2nd Serve Points Won,-4.412499999999998,"20-
30%"
130,19,Alexander Zverev,"280,5","0,702","0,746","0,479","0,841","7,4","3,7",280.49999999999994,19,Alexander Zverev,280.49999999999994,280.5,% Service Games Won,8.510416666666668,"20-
30%"
131,19,Alexander Zverev,"280,5","0,702","0,746","0,479","0,841","7,4","3,7",280.49999999999994,19,Alexander Zverev,280.49999999999994,280.5,Avg. Aces/ Match,1.5708333333333333,"20-
30%"
132,19,Alexander Zverev,"280,5","0,702","0,746","0,479","0,841","7,4","3,7",280.49999999999994,19,Alexander Zverev,280.49999999999994,280.5,Avg. Double Faults/Match,-0.9312499999999996,"20-
30%"
133,20,Andrey Rublev,"280,1","0,617","0,765","0,513","0,848","7,9","2,1",280.09999999999997,20,Andrey Rublev,280.1,280.1,Serve Rating,0.0,"20-
30%"
134,20,Andrey Rublev,"280,1","0,617","0,765","0,513","0,848","7,9","2,1",280.09999999999997,20,Andrey Rublev,280.1,280.1,% 1st Serve,-6.808333333333335,"20-
30%"
135,20,Andrey Rublev,"280,1","0,617","0,765","0,513","0,848","7,9","2,1",280.09999999999997,20,Andrey Rublev,280.1,280.1,% 1st Serve Points Won,9.06666666666667,"20-
30%"
136,20,Andrey Rublev,"280,1","0,617","0,765","0,513","0,848","7,9","2,1",280.09999999999997,20,Andrey Rublev,280.1,280.1,% 2nd Serve Points Won,1.5499999999999992,"20-
30%"
137,20,Andrey Rublev,"280,1","0,617","0,765","0,513","0,848","7,9","2,1",280.09999999999997,20,Andrey Rublev,280.1,280.1,% Service Games Won,9.595833333333331,"20-
30%"
138,20,Andrey Rublev,"280,1","0,617","0,765","0,513","0,848","7,9","2,1",280.09999999999997,20,Andrey Rublev,280.1,280.1,Avg. Aces/ Match,2.5,"20-
30%"
139,20,Andrey Rublev,"280,1","0,617","0,765","0,513","0,848","7,9","2,1",280.09999999999997,20,Andrey Rublev,280.1,280.1,Avg. Double Faults/Match,1.9708333333333328,"20-
30%"
140,21,Denis Shapovalov,"279,2","0,617","0,766","0,528","0,851","8,7","5,7",279.2,21,Denis Shapovalov,279.2,279.2,Serve Rating,0.0,"20-
30%"
141,21,Denis Shapovalov,"279,2","0,617","0,766","0,528","0,851","8,7","5,7",279.2,21,Denis Shapovalov,279.2,279.2,% 1st Serve,-6.793750000000001,"20-
30%"
142,21,Denis Shapovalov,"279,2","0,617","0,766","0,528","0,851","8,7","5,7",279.2,21,Denis Shapovalov,279.2,279.2,% 1st Serve Points Won,9.31875,"20-
30%"
143,21,Denis Shapovalov,"279,2","0,617","0,766","0,528","0,851","8,7","5,7",279.2,21,Denis Shapovalov,279.2,279.2,% 2nd Serve Points Won,4.0124999999999975,"20-
30%"
