,Serve Standing Player,Serve Standing Player2,Serve Rating,% 1st Serve,% 1st Serve Points Won,% 2nd Serve Points Won,% Service Games Won,Avg. Aces/ Match,Avg. Double Faults/Match,My score,My Rank,Unnamed: 0,Label,Score,Score bucket,Feature,Contribution,Rank Bucket
125,18,Thiago Monteiro,281,"0,662","0,727","0,545","0,825","6,5","1,4",281.00000000000006,18,125,Thiago Monteiro,281.00000000000006,281.0,Avg. Double Faults/Match,1.700000000000022,"10-
20%"
126,19,Alexander Zverev,"280,5","0,702","0,746","0,479","0,841","7,4","3,7",280.49999999999994,19,126,Alexander Zverev,280.49999999999994,280.5,Serve Rating,0.0,"20-
30%"
127,19,Alexander Zverev,"280,5","0,702","0,746","0,479","0,841","7,4","3,7",280.49999999999994,19,127,Alexander Zverev,280.49999999999994,280.5,% 1st Serve,5.0999999999999845,"20-
30%"
128,19,Alexander Zverev,"280,5","0,702","0,746","0,479","0,841","7,4","3,7",280.49999999999994,19,128,Alexander Zverev,280.49999999999994,280.5,% 1st Serve Points Won,2.2624999999999864,"20-
30%"
129,19,Alexander Zverev,"280,5","0,702","0,746","0,479","0,841","7,4","3,7",280.49999999999994,19,129,Alexander Zverev,280.49999999999994,280.5,% 2nd Serve Points Won,-3.075000000000005,"20-
30%"
130,19,Alexander Zverev,"280,5","0,702","0,746","0,479","0,841","7,4","3,7",280.49999999999994,19,130,Alexander Zverev,280.49999999999994,280.5,% Service Games Won,3.312499999999982,"20-
30%"
131,19,Alexander Zverev,"280,5","0,702","0,746","0,479","0,841","7,4","3,7",280.49999999999994,19,131,Alexander Zverev,280.49999999999994,280.5,Avg. Aces/ Match,-0.6375000000000145,"20-
30%"
132,19,Alexander Zverev,"280,5","0,702","0,746","0,479","0,841","7,4","3,7",280.49999999999994,19,132,Alexander Zverev,280.49999999999994,280.5,Avg. Double Faults/Match,-0.5999999999999869,"20-
30%"
133,20,Andrey Rublev,"280,1","0,617","0,765","0,513","0,848","7,9","2,1",280.09999999999997,20,133,Andrey Rublev,280.1,280.1,Serve Rating,0.0,"20-
30%"
134,20,Andrey Rublev,"280,1","0,617","0,765","0,513","0,848","7,9","2,1",280.09999999999997,20,134,Andrey Rublev,280.1,280.1,% 1st Serve,-4.462499999999994,"20-
30%"
135,20,Andrey Rublev,"280,1","0,617","0,765","0,513","0,848","7,9","2,1",280.09999999999997,20,135,Andrey Rublev,280.1,280.1,% 1st Serve Points Won,4.400000000000004,"20-
30%"
136,20,Andrey Rublev,"280,1","0,617","0,765","0,513","0,848","7,9","2,1",280.09999999999997,20,136,Andrey Rublev,280.1,280.1,% 2nd Serve Points Won,0.7500000000000018,"20-
30%"
137,20,Andrey Rublev,"280,1","0,617","0,765","0,513","0,848","7,9","2,1",280.09999999999997,20,137,Andrey Rublev,280.1,280.1,% Service Games Won,4.099999999999999,"20-
30%"
138,20,Andrey Rublev,"280,1","0,617","0,765","0,513","0,848","7,9","2,1",280.09999999999997,20,138,Andrey Rublev,280.1,280.1,Avg. Aces/ Match,-0.0750000000000149,"20-
30%"
139,20,Andrey Rublev,"280,1","0,617","0,765","0,513","0,848","7,9","2,1",280.09999999999997,20,139,Andrey Rublev,280.1,280.1,Avg. Double Faults/Match,1.1999999999999766,"20-
30%"
